month,region,ad_spend,price,competitor_price,units_sold
2,West,4706.24,42.82,45.33,223.0
6,West,3989.39,18.09,17.82,
9,North,2605.1,35.12,35.74,123.0
6,North,2131.25,65.21,68.12,102.0
6,North,4938.51,48.59,47.76,236.0
2,North,3701.7,22.3,24.18,179.0
5,West,4775.5,31.65,30.56,243.0
3,West,-999.0,23.11,24.91,73.0
4,North,4312.45,13.44,14.04,213.0
9,East,3330.54,65.79,64.09,168.0
8,North,960.84,38.0,37.48,68.0
8,South,3105.99,29.84,28.75,144.0
5,East,3556.04,0.0,44.18,164.0
12,East,456.59,12.42,9.6,51.0
2,West,2489.86,28.13,27.21,116.0
5,North,4196.84,52.78,49.89,186.0
2,North,1758.65,0.0,46.75,86.0
5,South,2509.32,68.94,70.29,131.0
12,South,2434.64,47.98,49.23,125.0
